,,,
,,,
,DESTINO,VENUE,SUCURSAL ID
,CANCUN,MANDALA,1
,CANCUN,THE CITY ,2
,CANCUN,MB DAY,3
,CANCUN,MB NIGHT,4
,CANCUN,D'CAVE,6
,CANCUN,SR FROGS,7
,CANCUN,LA VAQUITA,9
,CANCUN,ABOLENGO,22
,CANCUN,RAKATA,32
,CANCUN,HOF,53
,CDMX,RIVIERA POLANCO,50
,CDMX,BAGATELLE,57
,FNSM,DOROTHY,43
,FNSM,LA SANTA,44
,FNSM,MALLET,45
,FNSM,RAKATA,46
,GDL,NADIM,35
,GDL,DOROTHY,42
,GDL,SPADE,52
,GDL,SRA TANAKA,54
,CABO,MANDALA,18
,CABO,LA VAQUITA,20
,MADRID,HOUDINNI,55
,MADRID,SALA DE DESPECHO,56
,MTY,BYU,47
,MTY,RAKATA,48
,MTY,COSMO ,49
,PDC,MANDALA,10
,PDC,LA VAQUITA,12
,PDC,ABOLENGO,13
,PDC,SANTITO,29
,PDC,RAKATA ,30
,PVR,BIBLIOTECA,25
,PVR,MANDALA,14
,PVR,LA SANTA,15
,PVR,LA VAQUITA,16
,PVR,SKY,17
,PVR,SR FROGS,24
,PVR,CHICABAL,27
,PVR,MITA SOUNDS,33
,PVR,MAJAHUITAS,34
,PVR,RAKATA,39
,PVR,DOROTHY,40
,TULUM,TEHMPLO,36
,TULUM,BONBONNIERE,37
,TULUM,VAGALUME ,38
,TULUM,BAGATELLE,41
,TULUM,TEHMPLO F&F,51
